page;profil;performance;accessibilite;bonnes_pratiques;seo;fcp_s;lcp_s;tbt_ms;cls;speed_index_s;poids_ko;avertissements
accessibilite;desktop;100;100;100;100;0,358;0,473;0;0,0000;0,358;77;0
accessibilite;mobile;99;100;100;100;1,320;1,884;27;0,0000;1,320;77;0
accueil;desktop;100;100;100;100;0,386;0,558;0;0,0000;0,395;172;0
accueil;mobile;97;100;100;100;1,409;2,407;106;0,0000;1,409;189;0
assistant-liens;desktop;100;100;100;100;0,384;0,492;0;0,0070;0,384;83;0
assistant-liens;mobile;99;100;100;100;1,403;1,939;18;0,0124;1,403;83;0
checklist;desktop;100;100;100;100;0,434;0,604;0;0,0000;0,434;134;0
checklist;mobile;97;100;100;100;1,662;2,505;40;0,0000;1,662;134;0
confidentialite;desktop;100;100;100;100;0,356;0,468;0;0,0000;0,356;77;0
confidentialite;mobile;99;100;100;100;1,315;1,878;24;0,0000;1,315;77;0
diagnostic;desktop;100;100;100;100;0,423;0,598;0;0,0000;0,423;133;0
diagnostic;mobile;97;100;100;100;1,630;2,352;31;0,0000;1,630;133;0
experimentation;desktop;100;100;100;100;0,384;0,460;0;0,0000;0,384;82;0
experimentation;mobile;99;100;100;100;1,407;1,810;26;0,0000;1,407;82;0
kit;desktop;100;100;100;100;0,442;0,556;0;0,0000;0,442;131;0
kit;mobile;97;100;100;100;1,622;2,338;30;0,0000;1,622;131;0
mentions-legales;desktop;100;100;100;100;0,380;0,453;0;0,0000;0,380;80;0
mentions-legales;mobile;99;100;100;100;1,399;1,812;17;0,0000;1,399;80;0
mises-en-situation;desktop;100;100;100;100;0,420;0,553;0;0,0000;0,420;128;0
mises-en-situation;mobile;97;100;100;100;1,627;2,348;27;0,0000;1,627;128;0
plan-du-site;desktop;100;100;100;100;0,412;0,534;0;0,0000;0,412;126;0
plan-du-site;mobile;98;100;100;100;1,468;2,183;17;0,0000;1,468;126;0
quiz;desktop;100;100;100;100;0,428;0,567;0;0,0000;0,428;132;0
quiz;mobile;97;100;100;100;1,647;2,386;61;0,0000;1,647;132;0
ressources;desktop;100;100;100;100;0,419;0,552;0;0,0000;0,419;128;0
ressources;mobile;97;100;100;100;1,629;2,351;48;0,0000;1,629;128;0
resultats;desktop;100;100;100;100;0,453;0,602;0;0,0000;0,453;136;0
resultats;mobile;97;100;100;100;1,662;2,502;37;0,0000;1,662;136;0
scenario-scenario_aide_vulnerable;desktop;100;100;100;100;0,433;0,615;0;0,0000;0,433;133;0
scenario-scenario_aide_vulnerable;mobile;97;100;100;100;1,639;2,371;47;0,0000;1,639;133;0
scenario-scenario_coupure_eau;desktop;100;100;100;100;0,436;0,620;0;0,0000;0,436;133;0
scenario-scenario_coupure_eau;mobile;97;100;100;100;1,635;2,362;41;0,0000;1,635;133;0
scenario-scenario_coupure_electricite;desktop;100;100;100;100;0,428;0,607;0;0,0000;0,428;133;0
scenario-scenario_coupure_electricite;mobile;97;100;100;100;1,627;2,348;37;0,0000;1,627;133;0
scenario-scenario_cyclone;desktop;100;100;100;100;0,441;0,591;0;0,0000;0,441;133;0
scenario-scenario_cyclone;mobile;97;100;100;100;1,636;2,363;35;0,0000;1,636;133;0
scenario-scenario_documents;desktop;100;100;100;100;0,427;0,604;0;0,0000;0,427;133;0
scenario-scenario_documents;mobile;97;100;100;100;1,631;2,354;40;0,0000;1,631;133;0
support;desktop;100;100;100;100;0,363;0,482;0;0,0000;0,363;77;0
support;mobile;99;100;100;100;1,317;1,880;24;0,0000;1,317;77;0
video-aider-personne-vulnerable;desktop;100;100;100;100;0,438;0,627;0;0,0000;0,438;134;0
video-aider-personne-vulnerable;mobile;96;100;100;100;1,659;2,558;76;0,0000;1,659;134;0
video-composer-son-kit-urgence;desktop;100;100;100;100;0,429;0,610;0;0,0000;0,429;134;0
video-composer-son-kit-urgence;mobile;97;100;100;100;1,627;2,496;52;0,0000;1,627;134;0
video-premieres-actions-apres-evenement;desktop;100;100;100;100;0,435;0,620;0;0,0000;0,435;134;0
video-premieres-actions-apres-evenement;mobile;97;100;100;100;1,645;2,379;52;0,0000;1,645;134;0
video-preparer-les-enfants;desktop;100;100;100;100;0,438;0,626;0;0,0000;0,438;134;0
video-preparer-les-enfants;mobile;97;100;100;100;1,644;2,531;60;0,0000;1,644;134;0
video-preparer-son-logement;desktop;100;100;96;100;0,425;0,623;0;0,0000;0,549;413;0
video-preparer-son-logement;mobile;96;100;96;100;1,627;2,573;47;0,0000;1,627;454;0
video-prevoir-eau-alimentation;desktop;100;100;100;100;0,422;0,598;0;0,0000;0,422;134;0
video-prevoir-eau-alimentation;mobile;96;100;100;100;1,641;2,525;68;0,0000;1,641;134;0
video-proteger-ses-documents;desktop;100;100;100;100;0,423;0,559;0;0,0000;0,423;134;0
video-proteger-ses-documents;mobile;97;100;100;100;1,643;2,529;58;0,0000;1,643;134;0
video-reagir-coupure-eau;desktop;100;100;100;100;0,447;0,596;0;0,0000;0,447;134;0
video-reagir-coupure-eau;mobile;97;100;100;100;1,637;2,515;58;0,0000;1,637;134;0
video-reagir-coupure-electricite;desktop;100;100;100;100;0,433;0,616;0;0,0000;0,433;134;0
video-reagir-coupure-electricite;mobile;97;100;100;100;1,644;2,528;56;0,0000;1,644;134;0
video-reflexes-pendant-cyclone;desktop;100;100;100;100;0,436;0,581;0;0,0000;0,436;134;0
video-reflexes-pendant-cyclone;mobile;97;100;100;100;1,633;2,506;44;0,0000;1,633;134;0
videos;desktop;100;100;96;100;0,430;0,586;0;0,0000;0,430;490;0
videos;mobile;97;100;96;100;1,662;2,383;48;0,0000;1,662;409;0
